algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
count-then-move,4,10,1024,16777216,1564,32,79065903104
count-then-move,8,10,1024,16777216,821,32,78993059840
count-then-move,16,10,1024,16777216,453,32,78999900160
count-then-move,32,10,1024,16777216,257,32,79051931648
count-then-move,1,11,2048,16777216,3505,32,79051612160
count-then-move,2,11,2048,16777216,2436,32,78960906240
count-then-move,4,11,2048,16777216,1639,32,79283146752
count-then-move,8,11,2048,16777216,790,32,79491895296
count-then-move,16,11,2048,16777216,424,32,79698010112
count-then-move,32,11,2048,16777216,247,32,79660785664
count-then-move,1,12,4096,16777216,3157,32,79773868032
count-then-move,2,12,4096,16777216,2296,32,79237656576
count-then-move,4,12,4096,16777216,1502,32,79265124352
count-then-move,8,12,4096,16777216,867,32,79179227136
count-then-move,16,12,4096,16777216,462,32,79135490048
count-then-move,32,12,4096,16777216,263,32,79147106304
count-then-move,1,13,8192,16777216,3213,32,79042662400
count-then-move,2,13,8192,16777216,2128,32,78980706304
count-then-move,4,13,8192,16777216,1376,32,79256952832
count-then-move,8,13,8192,16777216,800,32,79478534144
count-then-move,16,13,8192,16777216,447,32,79676653568
count-then-move,32,13,8192,16777216,242,32,79695155200
count-then-move,1,14,16384,16777216,3221,32,79515652096
count-then-move,2,14,16384,16777216,2099,32,79495995392
count-then-move,4,14,16384,16777216,1517,32,79498637312
count-then-move,8,14,16384,16777216,742,32,79632211968
count-then-move,16,14,16384,16777216,442,32,79636865024
count-then-move,32,14,16384,16777216,242,32,79136530432
count-then-move,1,15,32768,16777216,3226,32,79241904128
count-then-move,2,15,32768,16777216,2298,32,79324749824
count-then-move,4,15,32768,16777216,1516,32,79416213504
count-then-move,8,15,32768,16777216,778,32,79475990528
count-then-move,16,15,32768,16777216,447,32,79346806784
count-then-move,32,15,32768,16777216,241,32,79512104960
count-then-move,1,16,65536,16777216,3223,32,79371194368
count-then-move,2,16,65536,16777216,2137,32,79584399360
count-then-move,4,16,65536,16777216,1541,32,79776198656
count-then-move,8,16,65536,16777216,786,32,79931641856
count-then-move,16,16,65536,16777216,440,32,79832956928
count-then-move,32,16,65536,16777216,248,32,79221075968
count-then-move,1,17,131072,16777216,3249,32,79075745792
count-then-move,2,17,131072,16777216,2149,32,79009316864
count-then-move,4,17,131072,16777216,1528,32,79285825536
count-then-move,8,17,131072,16777216,693,32,79314694144
count-then-move,16,17,131072,16777216,386,32,79062429696
count-then-move,32,17,131072,16777216,242,32,79276445696
count-then-move,1,18,262144,16777216,3290,32,79203127296
count-then-move,2,18,262144,16777216,2094,32,79280005120
count-then-move,4,18,262144,16777216,1586,32,79426740224
count-then-move,8,18,262144,16777216,740,32,79442178048
count-then-move,16,18,262144,16777216,389,32,79317917696
count-then-move,32,18,262144,16777216,235,32,79669149696
count-then-move,1,1,2,16777216,2983,32,79237812224
count-then-move,2,1,2,16777216,3314,32,79194697728
count-then-move,4,1,2,16777216,1671,32,79254106112
count-then-move,8,1,2,16777216,1381,32,79047467008
count-then-move,16,1,2,16777216,1205,32,79085678592
count-then-move,32,1,2,16777216,660,32,79345410048
count-then-move,1,2,4,16777216,3650,32,79594254336
count-then-move,2,2,4,16777216,3428,32,79326597120
count-then-move,4,2,4,16777216,1768,32,79483629568
count-then-move,8,2,4,16777216,1395,32,79699951616
count-then-move,16,2,4,16777216,1165,32,79759405056
count-then-move,32,2,4,16777216,645,32,79601356800
count-then-move,1,3,8,16777216,3149,32,79363031040
count-then-move,2,3,8,16777216,3544,32,79476817920
count-then-move,4,3,8,16777216,1824,32,79576158208
count-then-move,8,3,8,16777216,1390,32,79508840448
count-then-move,16,3,8,16777216,1198,32,79345389568
count-then-move,32,3,8,16777216,679,32,79078150144
count-then-move,1,4,16,16777216,3148,32,79034085376
count-then-move,2,4,16,16777216,3593,32,78964293632
count-then-move,4,4,16,16777216,1724,32,79021473792
count-then-move,8,4,16,16777216,1415,32,79220473856
count-then-move,16,4,16,16777216,1088,32,79263444992
count-then-move,32,4,16,16777216,614,32,79338037248
count-then-move,1,5,32,16777216,3191,32,79191113728
count-then-move,2,5,32,16777216,3064,32,78960881664
count-then-move,4,5,32,16777216,1743,32,79080497152
count-then-move,8,5,32,16777216,1128,32,79003889664
count-then-move,16,5,32,16777216,684,32,79021117440
count-then-move,32,5,32,16777216,661,32,78949691392
count-then-move,1,6,64,16777216,3208,32,79079108608
count-then-move,2,6,64,16777216,2716,32,79212138496
count-then-move,4,6,64,16777216,1649,32,79054626816
count-then-move,8,6,64,16777216,971,32,78911025152
count-then-move,16,6,64,16777216,665,32,79069925376
count-then-move,32,6,64,16777216,470,32,78906920960
count-then-move,1,7,128,16777216,3219,32,78657867776
count-then-move,2,7,128,16777216,2469,32,78587875328
count-then-move,4,7,128,16777216,1568,32,78863040512
count-then-move,8,7,128,16777216,942,32,78868430848
count-then-move,16,7,128,16777216,644,32,79067320320
count-then-move,32,7,128,16777216,340,32,78964350976
count-then-move,1,8,256,16777216,3186,32,78868422656
count-then-move,2,8,256,16777216,2406,32,78935932928
count-then-move,4,8,256,16777216,1473,32,79067709440
count-then-move,8,8,256,16777216,909,32,79263752192
count-then-move,16,8,256,16777216,624,32,79298318336
count-then-move,32,8,256,16777216,306,32,79285940224
count-then-move,1,9,512,16777216,3221,32,79030067200
count-then-move,2,9,512,16777216,2282,32,79073775616
count-then-move,4,9,512,16777216,1509,32,78994046976
count-then-move,8,9,512,16777216,830,32,78884884480
count-then-move,16,9,512,16777216,535,32,78978965504
