algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
concurrent-output,8,11,2048,16777216,2030,32,12821164032
concurrent-output,16,11,2048,16777216,1675,32,12952313856
concurrent-output,32,11,2048,16777216,1491,32,12939276288
concurrent-output,1,12,4096,16777216,4911,32,12790743040
concurrent-output,2,12,4096,16777216,3477,32,12800913408
concurrent-output,4,12,4096,16777216,2783,32,12506042368
concurrent-output,8,12,4096,16777216,2117,32,12736864256
concurrent-output,16,12,4096,16777216,1689,32,12929974272
concurrent-output,32,12,4096,16777216,1492,32,13143044096
concurrent-output,1,13,8192,16777216,5014,32,12725989376
concurrent-output,2,13,8192,16777216,3500,32,12770406400
concurrent-output,4,13,8192,16777216,2591,32,12995371008
concurrent-output,8,13,8192,16777216,2030,32,13041692672
concurrent-output,16,13,8192,16777216,1678,32,12990103552
concurrent-output,32,13,8192,16777216,1487,32,13196054528
concurrent-output,1,14,16384,16777216,5049,32,13029834752
concurrent-output,2,14,16384,16777216,3496,32,12891656192
concurrent-output,4,14,16384,16777216,2655,32,12877783040
concurrent-output,8,14,16384,16777216,1976,32,12840009728
concurrent-output,16,14,16384,16777216,1688,32,13031522304
concurrent-output,32,14,16384,16777216,1489,32,13226905600
concurrent-output,1,15,32768,16777216,5092,32,13203898368
